name,uni,coll,header,image,p,d,a,n,pic
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n55529,Family & Consumer Science,http://vivo.nkn.uidaho.edu/individual/n22663,"Iiams, Erika ",/file/n128852/thumbnail_erika-iiams.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n39442,Agriculture Economics & Rural Sociology,http://vivo.nkn.uidaho.edu/individual/pid55489,"Johnson, Aaron ",/file/n388781/thumbnail_aaron-johnson.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n140645,Soil and Water Systems,http://vivo.nkn.uidaho.edu/individual/n8127,"Johnson-Maynard, Jodi L",/file/n458917/thumbnail_1200x1200-jodi-johnson-maynard.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n29953,Food Science,http://vivo.nkn.uidaho.edu/individual/n9838,"Joyner, Helen S",/file/n36567/thumbnail_joyner1-225x300.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n436182,"Entomology, Plant Pathology and Nematology",http://vivo.nkn.uidaho.edu/individual/n8461,"Karasev, Alexander V",/file/n1665/thumbnail_Karasev_196x208.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n55529,Family & Consumer Science,http://vivo.nkn.uidaho.edu/individual/n126056,"Kim, Jang Ho",/file/n94856/thumbnail_1200x1200-jang-ho-kim.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n23012,Animal & Veterinary Science,http://vivo.nkn.uidaho.edu/individual/n254701,"Konetchy, Denise ",/file/n385578/thumbnail_1200x1200-denise-konetchy.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n29953,Food Science,http://vivo.nkn.uidaho.edu/individual/n22222,"Kronenberg, Jeff ",/file/n165843/thumbnail_1200x1200-jeff-kronenberg.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n166226,Plant Sciences,http://vivo.nkn.uidaho.edu/individual/n10059,"Kuhl, Joseph C",/file/n65063/thumbnail_Kuhl_196x208.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n23012,Animal & Veterinary Science,http://vivo.nkn.uidaho.edu/individual/n141457,"Laarman, Anne H",/file/n256580/thumbnail_1200x1200-anne-laarman.jpg
